feature,corr,abs_corr,pval,mean_pos,mean_neg,n_valid
NameplateCapacity_OperatingPlanned,0.173,0.173,0.0,1937.318,659.929,2282
RISK_SCORE,0.1551,0.1551,0.0,76.747,49.37,3109
IFLD_RISKS,0.1512,0.1512,0.0,76.201,49.66,3109
pct_developed_medium,0.1417,0.1417,0.0,5.015,1.592,3109
pct_developed_low,0.1368,0.1368,0.0,7.401,3.49,3109
GeneratorCount_OperatingPlanned,0.1359,0.1359,0.0,28.732,11.852,2282
SWND_RISKS,0.1246,0.1246,0.0,71.785,49.973,3109
ERQK_RISKS,0.1209,0.1209,0.0,70.593,49.21,3109
TRND_RISKS,0.1196,0.1196,0.0,70.94,49.985,3109
WNTW_RISKS,0.1035,0.1035,0.0,67.829,49.513,3109
pct_developed_high,0.0907,0.0907,0.0,1.598,0.502,3109
pct_developed_open,0.0668,0.0668,0.0002,6.363,4.767,3109
WFIR_RISKS,0.0642,0.0642,0.0003,61.06,49.749,3109
pct_developed_total,0.0582,0.0582,0.0012,41.279,31.545,3109
pct_forest_total,-0.0517,0.0517,0.004,20.201,28.084,3109
pct_weeks_d1_plus,0.0462,0.0462,0.0101,32.053,27.605,3108
avg_d1_coverage,0.0436,0.0436,0.0151,25.819,22.232,3108
BroadbandAccessGigabit,0.0423,0.0423,0.0433,60.921,54.76,2282
avg_d2_coverage,0.0403,0.0403,0.0247,14.087,11.672,3108
pct_environmental_barrier,-0.0393,0.0393,0.0285,7.704,11.785,3109
avg_annual_precip_in,-0.0389,0.0389,0.0303,36.468,39.797,3098
pct_evergreen_forest,-0.0355,0.0355,0.0476,5.556,8.594,3109
pct_emergent_wetlands,-0.0332,0.0332,0.0642,0.685,1.373,3109
pct_deciduous_forest,-0.0319,0.0319,0.075,11.702,15.638,3109
avg_d3_coverage,0.0313,0.0313,0.081,5.98,4.951,3108
DRGT_RISKS,0.0297,0.0297,0.0983,55.057,49.643,3109
pct_open_water,-0.0281,0.0281,0.1171,2.742,4.704,3109
pct_shrub_scrub,0.0267,0.0267,0.1367,11.752,8.499,3109
pct_woody_wetlands,-0.0252,0.0252,0.1606,4.276,5.704,3109
pct_mixed_forest,-0.0236,0.0236,0.1882,2.943,3.852,3109
pct_gap1_2_3,-0.0214,0.0214,0.2338,14.022,17.721,3109
pct_gap1_2,-0.0204,0.0204,0.2564,5.274,6.913,3109
NameplateCapacityPer1k_OperatingPlanned,0.0194,0.0194,0.3542,46.115,30.8,2282
pct_gap1,-0.0185,0.0185,0.3034,0.962,1.686,3109
pct_pasture_hay,-0.0164,0.0164,0.3592,9.519,10.821,3109
pct_gap3,-0.0157,0.0157,0.3805,8.748,10.808,3109
pct_potentially_developable,0.0156,0.0156,0.3853,30.816,28.446,3109
GeneratorCountPer1k_OperatingPlanned,0.0154,0.0154,0.4612,0.463,0.385,2282
pct_gap2,-0.0145,0.0145,0.4204,4.311,5.226,3109
FiberCoverage100_20,0.0133,0.0133,0.5249,53.059,51.148,2282
CFLD_RISKS,-0.0114,0.0114,0.8053,49.585,51.618,469
HRCN_RISKS,-0.0101,0.0101,0.6226,48.025,49.811,2392
pct_barren_land,0.0053,0.0053,0.7665,0.549,0.498,3109
pct_grassland,0.0035,0.0035,0.8465,8.997,8.629,3109
pct_cultivated_crops,-0.0018,0.0018,0.9191,20.903,21.194,3109
